token_address_raw,token_name,long_name
\xc9ad279994980f8df348b526901006972509677f,LPePyvCurve-alUSD-28JAN22,LP Element Principal Token yvCurve-alUSD-28JAN22
\x63e9b50dd3eb63bfbf93b26f57b9efb574e59576,LPePyvCurve-alUSD-29APR22,LP Element Principal Token yvCurve-alUSD-29APR22
\x6ac02ecd0c2a23b11f9afb3b3aaf237169475cac,LPePyvCurve-EURS-11FEB22,LP Element Principal Token yvCurve-EURS-11FEB22
\x489eedb33f82574afeabb3f4e156fbf662308ada,LPePyvCurve-LUSD-16SEP22,LP Element Principal Token yvCurve-LUSD-16SEP22
\x09b1b33bad0e87454ff05696b1151bfbd208a43f,LPePyvCurve-MIM-11FEB22,LP Element Principal Token yvCurve-MIM-11FEB22
\x14792d3f6fcf2661795d1e08ef818bf612708bbf,LPePyvCurve-MIM-29APR22,LP Element Principal Token yvCurve-MIM-29APR22
\xabb93e3787b984cb62dcd962af8732f52ff57586,LPePyvCurve-stETH-16SEP22,LP Element Principal Token yvCurve-stETH-16SEP22
\x893b30574bf183d69413717f30b17062ec9dfd8b,LPePyvCurveLUSD-27DEC21,LP Element Principal Token yvCurveLUSD-27DEC21
\xa8d4433badaa1a35506804b43657b0694dea928d,LPePyvCurveLUSD-28SEP21,LP Element Principal Token yvCurveLUSD-28SEP21
\x56f30398d13f111401d6e7ffe758254a0946687d,LPePyvCurveLUSD-29APR22,LP Element Principal Token yvCurveLUSD-29APR22
\x71628c66c502f988fbb9e17081f2bd14e361faf4,LPePyvDAI-16OCT21,LP Element Principal Token yvDAI-16OCT21
\x8ffd1dc7c3ef65f833cf84dbcd15b6ad7f9c54ec,LPePyvDAI-16SEP22,LP Element Principal Token yvDAI-16SEP22
\xa47d1251cf21ad42685cc6b8b3a186a73dbd06cf,LPePyvDAI-28JAN22,LP Element Principal Token yvDAI-28JAN22
\xedf085f65b4f6c155e13155502ef925c9a756003,LPePyvDAI-29APR22,LP Element Principal Token yvDAI-29APR22
\x56df5ef1a0a86c2a5dd9cc001aa8152545bdbdec,LPePyvUSDC-16SEP22,LP Element Principal Token yvUSDC-16SEP22
\x90ca5cef5b29342b229fb8ae2db5d8f4f894d652,LPePyvUSDC-17DEC21,LP Element Principal Token yvUSDC-17DEC21
\x10a2f8bd81ee2898d7ed18fb8f114034a549fa59,LPePyvUSDC-28JAN22,LP Element Principal Token yvUSDC-28JAN22
\x7edde0cb05ed19e03a9a47cd5e53fc57fde1c80c,LPePyvUSDC-29APR22,LP Element Principal Token yvUSDC-29APR22
\x787546bf2c05e3e19e2b6bde57a203da7f682eff,LPePyvUSDC-29OCT21,LP Element Principal Token yvUSDC-29OCT21
\x4db9024fc9f477134e00da0da3c77de98d9836ac,LPePyvWBTC-26NOV21,LP Element Principal Token yvWBTC-26NOV21
\x4bd6d86debdb9f5413e631ad386c4427dc9d01b2,LPePyvWBTC-29APR22,LP Element Principal Token yvWBTC-29APR22
\xd16847480d6bc218048cd31ad98b63cc34e5c2bf,LPeYyvcrv3crypto-12NOV21,LP Element Yield Token yvcrv3crypto-12NOV21
\x4abb6fd289fa70056cfcb58cebab8689921eb922,LPeYyvcrv3crypto-29APR22,LP Element Yield Token yvcrv3crypto-29APR22
\x062f38735aac32320db5e2dbbeb07968351d7c72,LPeYyvcrvSTETH-15APR22,LP Element Yield Token yvcrvSTETH-15APR22
\xd5d7bc115b32ad1449c6d0083e43c87be95f2809,LPeYyvcrvSTETH-15OCT21,LP Element Yield Token yvcrvSTETH-15OCT21
\x4212be3c7b255ba4b29705573abd023cdce21542,LPeYyvcrvSTETH-28JAN22,LP Element Yield Token yvcrvSTETH-28JAN22
\xf94a7df264a2ec8bceef2cfe54d7ca3f6c6dfc7a,LPeYyvCrvTriCrypto-15AUG21,LP Element Yield Token yvCrvTriCrypto-15AUG21
\x802d0f2f4b5f1fb5bfc9b2040a703c1464e1d4cb,LPeYyvCurve-alUSD-28JAN22,LP Element Yield Token yvCurve-alUSD-28JAN22
\x10f21c9bd8128a29aa785ab2de0d044dcdd79436,LPeYyvCurve-alUSD-29APR22,LP Element Yield Token yvCurve-alUSD-29APR22
\x5fa3ce1fb47bc8a29b5c02e2e7167799bbaf5f41,LPeYyvCurve-EURS-11FEB22,LP Element Yield Token yvCurve-EURS-11FEB22
\x1d310a6238e11c8be91d83193c88a99eb66279be,LPeYyvCurve-MIM-11FEB22,LP Element Yield Token yvCurve-MIM-11FEB22
\x6fe95fafe2f86158c77bf18350672d360bfc78a2,LPeYyvCurve-MIM-29APR22,LP Element Yield Token yvCurve-MIM-29APR22
\x67f8fcb9d3c463da05de1392efdbb2a87f8599ea,LPeYyvCurveLUSD-27DEC21,LP Element Yield Token yvCurveLUSD-27DEC21
\xde620bb8be43ee54d7aa73f8e99a7409fe511084,LPeYyvCurveLUSD-28SEP21,LP Element Yield Token yvCurveLUSD-28SEP21
\x8e9d636bbe6939bd0f52849afc02c0c66f6a3603,LPeYyvCurveLUSD-29APR22,LP Element Yield Token yvCurveLUSD-29APR22
\xe54b3f5c444a801e61becdca93e74cdc1c4c1f90,LPeYyvDAI-16OCT21,LP Element Yield Token yvDAI-16OCT21
\xb70c25d96ef260ea07f650037bf68f5d6583885e,LPeYyvDAI-28JAN22,LP Element Yield Token yvDAI-28JAN22
\x415747ee98d482e6dd9b431fa76ad5553744f247,LPeYyvDAI-29APR22,LP Element Yield Token yvDAI-29APR22
\x7c9cf12d783821d5c63d8e9427af5c44bad92445,LPeYyvUSDC-17DEC21,LP Element Yield Token yvUSDC-17DEC21
\x9e030b67a8384cbba09d5927533aa98010c87d91,LPeYyvUSDC-28JAN22,LP Element Yield Token yvUSDC-28JAN22
\x7173b184525fead2ffbde5fbe6fcb65ea8246ee7,LPeYyvUSDC-29APR22,LP Element Yield Token yvUSDC-29APR22
\x2d6e3515c8b47192ca3913770fa741d3c4dac354,LPeYyvUSDC-29OCT21,LP Element Yield Token yvUSDC-29OCT21
\x7320d680ca9bce8048a286f00a79a2c9f8dcd7b3,LPeYyvWBTC-26NOV21,LP Element Yield Token yvWBTC-26NOV21
\xcf354603a9aebd2ff9f33e1b04246d8ea204ae95,LPeYyvWBTC-29APR22,LP Element Yield Token yvWBTC-29APR22
\x09459654777bb2669ad8ad0b54e876d4b5ff77f4,ePyvDAI-24FEB23,Element Principal Token yvDAI-24FEB23
\x7f4a33dee068c4fa012d64677c61519a578dfa35,LPePyvDAI-24FEB23,LP Element Principal Token yvDAI-24FEB23
\xb83809806a076a1413437ea3e553d6bf41993a21,ePyvUSDC-24FEB23,Element Principal Token yvUSDC-24FEB23
\x5746afd392b13946aacbda40317751db27d8b918,LPePyvUSDC-24FEB23,LP Element Principal Token yvUSDC-24FEB23
\x724e3073317d4b1a8d0c6e89b137ea5af1f4051e,ePyvCurve-stETH-24FEB23,Element Principal Token yvCurve-stETH-24FEB23
\x07f589ea6b789249c83992dd1ed324c3b80fd06b,LPePyvCurve-stETH-24FEB23,LP Element Principal Token yvCurve-stETH-24FEB23
\x7e4fee0c14673db4f1526fdbea53819e5808a9b5,ePyvBalancer-BoostedAaveUSD-04MAY23,Element Principal Token yvBalancer-BoostedAaveUSD-04MAY23
\x28b0379d98fb80da460c190c95f97c74302214b1,LPePyvBalancer-BoostedAaveUSD-04MAY23,LP Element Principal Token yvBalancer-BoostedAaveUSD-04MAY23
