day,base_asset,price
2022-02-21T00:00:00+00:00,USDC,1.0012518993055577
2022-02-21T00:00:00+00:00,WBTC,38613.804944444346
2022-02-21T00:00:00+00:00,alUSD3CRV-f,0.9870085084402237
2022-02-21T00:00:00+00:00,crv3crypto,1434.767219749882
2022-02-21T00:00:00+00:00,crvTricrypto,1510.3445742505442
2022-02-21T00:00:00+00:00,eursCRV,1.141756805450595
2022-02-21T00:00:00+00:00,steCRV,2821.6624283480987
2022-02-20T00:00:00+00:00,DAI,1.0010279951388843
2022-02-20T00:00:00+00:00,LUSD3CRV-f,0.9939300787220134
2022-02-20T00:00:00+00:00,MIM-3LP3CRV-f,0.9945892040205262
2022-02-20T00:00:00+00:00,USDC,1.0013127027777768
2022-02-20T00:00:00+00:00,WBTC,38886.510833333356
2022-02-20T00:00:00+00:00,alUSD3CRV-f,0.9870808147538181
2022-02-20T00:00:00+00:00,crv3crypto,1423.9280196151622
2022-02-20T00:00:00+00:00,crvTricrypto,1510.3445742505442
2022-02-20T00:00:00+00:00,eursCRV,1.141756805450595
2022-02-20T00:00:00+00:00,steCRV,2741.814636464036
2022-02-19T00:00:00+00:00,DAI,1.000898134722219
2022-02-19T00:00:00+00:00,LUSD3CRV-f,0.9937163486908194
2022-02-19T00:00:00+00:00,MIM-3LP3CRV-f,1.005408926354962
2022-02-19T00:00:00+00:00,USDC,1.0010674888888889
2022-02-19T00:00:00+00:00,WBTC,40177.06688888886
2022-02-19T00:00:00+00:00,alUSD3CRV-f,0.9870808147538181
2022-02-19T00:00:00+00:00,crv3crypto,1456.335567075388
2022-02-19T00:00:00+00:00,crvTricrypto,1510.3445742505442
2022-02-19T00:00:00+00:00,eursCRV,1.1430152774429294
2022-02-19T00:00:00+00:00,steCRV,2867.6297702398856
2022-02-18T00:00:00+00:00,DAI,1.0007439930555564
2022-02-18T00:00:00+00:00,LUSD3CRV-f,0.9948406011342618
2022-02-18T00:00:00+00:00,MIM-3LP3CRV-f,0.983303080747655
2022-02-18T00:00:00+00:00,USDC,1.0009025840277779
2022-02-18T00:00:00+00:00,WBTC,40504.07361805544
2022-02-18T00:00:00+00:00,alUSD3CRV-f,0.9875949183505432
2022-02-18T00:00:00+00:00,crv3crypto,1478.6073693921105
2022-02-18T00:00:00+00:00,crvTricrypto,1510.3445742505442
2022-02-18T00:00:00+00:00,eursCRV,1.1474327769954615
2022-02-18T00:00:00+00:00,steCRV,3008.8786474878593
2022-02-17T00:00:00+00:00,DAI,1.0005521965277788
2022-02-17T00:00:00+00:00,LUSD3CRV-f,1.0095046460793513
2022-02-17T00:00:00+00:00,MIM-3LP3CRV-f,0.9947292150434017
2022-02-17T00:00:00+00:00,USDC,1.0008405256944464
2022-02-17T00:00:00+00:00,WBTC,42834.632111111016
2022-02-17T00:00:00+00:00,alUSD3CRV-f,0.9875949183505432
2022-02-17T00:00:00+00:00,crv3crypto,1547.2401974696256
2022-02-17T00:00:00+00:00,crvTricrypto,1510.3445742505442
2022-02-17T00:00:00+00:00,eursCRV,1.1474327769954615
2022-02-17T00:00:00+00:00,steCRV,3173.402521721856
2022-02-16T00:00:00+00:00,DAI,1.0009162590277798
2022-02-16T00:00:00+00:00,LUSD3CRV-f,0.9928582907030831
2022-02-16T00:00:00+00:00,MIM-3LP3CRV-f,0.9839749397484963
2022-02-16T00:00:00+00:00,USDC,1.0012768465277777
2022-02-16T00:00:00+00:00,WBTC,44166.963465277775
2022-02-16T00:00:00+00:00,alUSD3CRV-f,0.9875949183505432
2022-02-16T00:00:00+00:00,crv3crypto,1570.6452747922326
2022-02-16T00:00:00+00:00,crvTricrypto,1510.3445742505442
2022-02-16T00:00:00+00:00,eursCRV,1.1474327769954615
2022-02-16T00:00:00+00:00,steCRV,3196.965246419046
2022-02-15T00:00:00+00:00,DAI,1.0011175965277803
2022-02-15T00:00:00+00:00,LUSD3CRV-f,0.9935745374978499
2022-02-15T00:00:00+00:00,MIM-3LP3CRV-f,0.9837230848853398
2022-02-15T00:00:00+00:00,USDC,1.0016520555555555
2022-02-15T00:00:00+00:00,WBTC,44049.09197916666
2022-02-15T00:00:00+00:00,alUSD3CRV-f,0.9875520653741734
2022-02-15T00:00:00+00:00,crv3crypto,1557.9862633182056
2022-02-15T00:00:00+00:00,crvTricrypto,1510.3445742505442
2022-02-15T00:00:00+00:00,eursCRV,1.1474327769954615
2022-02-15T00:00:00+00:00,steCRV,3207.9638869655173
2022-02-14T00:00:00+00:00,DAI,1.002345254861111
2022-02-14T00:00:00+00:00,LUSD3CRV-f,0.9934827148237728
2022-02-14T00:00:00+00:00,MIM-3LP3CRV-f,0.9836637049223531
2022-02-14T00:00:00+00:00,USDC,1.002952869444448
2022-02-14T00:00:00+00:00,WBTC,42440.53715972221
2022-02-14T00:00:00+00:00,alUSD3CRV-f,0.9877053940961369
2022-02-14T00:00:00+00:00,crv3crypto,1507.1957360074489
2022-02-14T00:00:00+00:00,crvTricrypto,1510.3445742505442
2022-02-14T00:00:00+00:00,eursCRV,1.1474327769954615
2022-02-14T00:00:00+00:00,steCRV,2976.9569935614736
2022-02-13T00:00:00+00:00,DAI,1.0008663437500005
2022-02-13T00:00:00+00:00,LUSD3CRV-f,1.000373895579878
2022-02-13T00:00:00+00:00,MIM-3LP3CRV-f,0.9841219786845918
2022-02-13T00:00:00+00:00,USDC,1.001229142361113
2022-02-13T00:00:00+00:00,WBTC,42490.61709722228
2022-02-13T00:00:00+00:00,alUSD3CRV-f,0.9876257072309362
2022-02-13T00:00:00+00:00,crv3crypto,1509.6228412905912
2022-02-13T00:00:00+00:00,crvTricrypto,1510.3445742505442
2022-02-13T00:00:00+00:00,eursCRV,1.1474327769954615
2022-02-13T00:00:00+00:00,steCRV,3020.349791433788
2022-02-12T00:00:00+00:00,DAI,1.0009966354166704
2022-02-12T00:00:00+00:00,LUSD3CRV-f,0.9935091358573491
2022-02-12T00:00:00+00:00,MIM-3LP3CRV-f,0.9842401407508055
2022-02-12T00:00:00+00:00,USDC,1.0012727750000001
